hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1592(DraggableBase)
        7    0.000    0.000    0.000    0.000 nonlin.py:1625(<listcomp>)
        1    0.000    0.000    0.002    0.002 interpolative.py:32(<module>)
        1    0.000    0.000    0.000    0.000 std.py:133(Bar)
        3    0.000    0.000    0.000    0.000 six.py:195(load_module)
        1    0.000    0.000    0.001    0.001 specifiers.py:207(LegacySpecifier)
       20    0.000    0.000    0.000    0.000 pyparsing.py:315(__init__)
        3    0.000    0.000    0.016    0.005 executionengine.py:87(finalize_object)
        6    0.000    0.000    0.000    0.000 builder.py:46(wrap)
        1    0.000    0.000    0.000    0.000 functions.py:652(__init__)
        1    0.000    0.000    0.000    0.000 typeconv.py:32(__init__)
        7    0.000    0.000    0.000    0.000 typeof.py:139(_typeof_numpy_scalar)
        3    0.000    0.000    0.000    0.000 extending.py:243(overload_classmethod)
        2    0.000    0.000    0.000    0.000 codegen.py:879(_object_compiled_hook)
        3    0.000    0.000    0.000    0.000 typing.py:509(__init__)
        7    0.000    0.000    0.000    0.000 weakref.py:350(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:90(AxesWidget)
        1    0.000    0.000    0.000    0.000 image.py:216(_ImageBase)
        1    0.000    0.000    0.000    0.000 table.py:232(Table)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       22    0.000    0.000    0.000    0.000 decorator.py:195(<genexpr>)
        1    0.000    0.000    0.000    0.000 _gcrotmk.py:4(<module>)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.003    0.003 std.py:92(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:552(WorkingSet)
        2    0.000    0.000    0.000    0.000 instructions.py:639(descr)
        3    0.000    0.000    0.000    0.000 abstract.py:463(__init__)
        1    0.000    0.000    0.000    0.000 typeconv.py:23(TypeManager)
        1    0.000    0.000    0.001    0.001 callconv.py:385(return_user_exc)
        1    0.000    0.000    0.000    0.000 ntpath.py:579(_getfinalpathname_nonstrict)
        2    0.000    0.000    0.000    0.000 __init__.py:441(__getattr__)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:58(<genexpr>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:311(_validate_toolbar)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1772(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        3    0.000    0.000    0.000    0.000 patches.py:1923(<listcomp>)
        1    0.000    0.000    0.000    0.000 widgets.py:135(Button)
        1    0.000    0.000    0.000    0.000 widgets.py:2175(RectangleSelector)
       16    0.000    0.000    0.000    0.000 _pep440.py:301(<genexpr>)
        1    0.000    0.000    0.000    0.000 std.py:69(TRLock)
        2    0.000    0.000    0.000    0.000 typeof.py:124(_typeof_int)
        4    0.000    0.000    0.000    0.000 extending.py:170(overload_attribute)
        1    0.000    0.000    0.001    0.001 dispatcher.py:876(enable_caching)
        1    0.000    0.000    0.000    0.000 builtins.py:251(BinOpPower)
        4    0.000    0.000    0.000    0.000 codegen.py:1057(_proxy)
        1    0.000    0.000    0.000    0.000 fastmathpass.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:292(_GufuncWrapper)
        5    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
       40    0.000    0.000    0.000    0.000 inspect.py:2886(return_annotation)
        1    0.000    0.000    0.000    0.000 pathlib.py:398(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
        5    0.000    0.000    0.000    0.000 __init__.py:2259(_backend_module_name)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        1    0.000    0.000    0.000    0.000 rcsetup.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 transforms.py:2073(IdentityTransform)
        1    0.000    0.000    0.000    0.000 _parser.py:574(parser)
        1    0.000    0.000    0.000    0.000 trirefine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2464(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:3147(Listbox)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.new_type_manager}
        1    0.000    0.000    0.000    0.000 _parseaddr.py:4(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3841(__str__)
        1    0.000    0.000    0.000    0.000 linker.py:5(link_modules)
       12    0.000    0.000    0.000    0.000 types.py:30(__ne__)
        3    0.000    0.000    0.000    0.000 builder.py:755(load)
        2    0.000    0.000    0.000    0.000 builder.py:964(extract_value)
       14    0.000    0.000    0.000    0.000 castgraph.py:36(__init__)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:189(_lookup_module_and_qualname)
        1    0.000    0.000    0.003    0.003 codegen.py:733(add_llvm_module)
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 colors.py:552(Colormap)
        1    0.000    0.000    0.000    0.000 transforms.py:1251(Transform)
        1    0.000    0.000    0.000    0.000 _parser.py:400(_ymd)
        1    0.000    0.000    0.000    0.000 colorbar.py:1158(Colorbar)
        1    0.000    0.000    0.000    0.000 blocking_input.py:101(BlockingMouseInput)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3061(__init__)
        3    0.000    0.000    0.000    0.000 builder.py:833(cbranch)
        6    0.000    0.000    0.000    0.000 __init__.py:98(<lambda>)
        2    0.000    0.000    0.000    0.000 utils.py:387(bit_length)
       14    0.000    0.000    0.000    0.000 scalars.py:129(__lt__)
        1    0.000    0.000    0.000    0.000 callconv.py:478(get_function_type)
        1    0.000    0.000    0.000    0.000 core.py:2383(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:502(ParseResults)
       12    0.000    0.000    0.000    0.000 patches.py:1928(<genexpr>)
        4    0.000    0.000    0.000    0.000 legend_handler.py:181(__init__)
        1    0.000    0.000    0.000    0.000 rk.py:385(DOP853)
        1    0.000    0.000    0.000    0.000 std.py:330(status_printer)
        1    0.000    0.000    0.000    0.000 ffi.py:217(OutputString)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
       13    0.000    0.000    0.000    0.000 types.py:231(__eq__)
        2    0.000    0.000    0.000    0.000 utils.py:374(runonce)
        1    0.000    0.000    0.000    0.000 abstract.py:80(Type)
        1    0.000    0.000    0.000    0.000 removerefctpass.py:1(<module>)
        5    0.000    0.000    0.000    0.000 callconv.py:39(_const_int)
        1    0.000    0.000    0.000    0.000 nrt.py:15(_Runtime)
        3    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        2    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 platform.py:580(_node)
        1    0.000    0.000    0.000    0.000 backend_tools.py:28(Cursors)
        1    0.000    0.000    0.000    0.000 _testutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 init_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cProfile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:499(__init__)
        1    0.000    0.000    0.000    0.000 lowering.py:19(BaseLower)
        2    0.000    0.000    0.000    0.000 itanium_mangler.py:86(_escape_string)
        1    0.000    0.000    0.000    0.000 static_raise.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dispatcher.py:1076(_get_dispatcher_for_current_target)
        8    0.000    0.000    0.000    0.000 event.py:296(install_listener)
        1    0.000    0.000    0.000    0.000 codegen.py:1411(initialize_llvm)
        8    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2251(_any_dispatcher)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
       12    0.000    0.000    0.000    0.000 rcsetup.py:448(validate_fontweight)
        1    0.000    0.000    0.000    0.000 pyparsing.py:288(conditionAsParseAction)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1074(TimerBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:37(ToolBase)
        1    0.000    0.000    0.000    0.000 category.py:122(StrCategoryLocator)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _logsumexp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _onenormest.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        3    0.000    0.000    0.000    0.000 targets.py:264(add_analysis_passes)
        1    0.000    0.000    0.000    0.000 module.py:138(data_layout)
        1    0.000    0.000    0.000    0.000 transforms.py:10(PassManagerBuilder)
        7    0.000    0.000    0.000    0.000 values.py:127(_to_string)
        1    0.000    0.000    0.000    0.000 cgutils.py:900(gep)
        4    0.000    0.000    0.000    0.000 event.py:166(register)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:28(CompilerPass)
        1    0.000    0.000    0.000    0.000 retarget.py:1(<module>)
        1    0.000    0.000    0.000    0.000 textwrap.py:115(__init__)
        1    0.000    0.000    0.006    0.006 figureoptions.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:105(ode)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        3    0.000    0.000    0.003    0.001 transforms.py:93(populate)
        7    0.000    0.000    0.000    0.000 builder.py:190(__init__)
        4    0.000    0.000    0.000    0.000 builder.py:850(ret_void)
        4    0.000    0.000    0.000    0.000 instructions.py:169(<listcomp>)
        3    0.000    0.000    0.000    0.000 instructions.py:399(descr)
        2    0.000    0.000    0.000    0.000 instructions.py:719(descr)
        1    0.000    0.000    0.000    0.000 environment.py:7(Environment)
        3    0.000    0.000    0.001    0.000 codegen.py:1150(create_library)
        3    0.000    0.000    0.000    0.000 llvm_pass_timings.py:281(__init__)
       20    0.000    0.000    0.000    0.000 targetconfig.py:15(__init__)
        1    0.000    0.000    0.000    0.000 lex.py:558(LexerReflect)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
        1    0.000    0.000    0.000    0.000 os.py:200(makedirs)
        3    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        6    0.000    0.000    0.000    0.000 glob.py:147(has_magic)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2829(_Mode)
        9    0.000    0.000    0.000    0.000 six.py:80(_import_module)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
        2    0.000    0.000    0.000    0.000 passmanagers.py:198(__init__)
        3    0.000    0.000    0.000    0.000 transforms.py:48(inlining_threshold)
        5    0.000    0.000    0.000    0.000 types.py:489(packed)
        2    0.000    0.000    0.000    0.000 builder.py:31(wrapped)
        3    0.000    0.000    0.000    0.000 cgutils.py:435(add_global_variable)
        7    0.000    0.000    0.000    0.000 extending.py:296(StructAttribute)
       24    0.000    0.000    0.000    0.000 core.py:16(_icmp_get)
        2    0.000    0.000    0.000    0.000 itanium_mangler.py:219(prepend_namespace)
        5    0.000    0.000    0.000    0.000 typing_extensions.py:753(_define_guard)
        1    0.000    0.000    0.000    0.000 static_binop.py:1(<module>)
        4    0.000    0.000    0.000    0.000 event.py:179(unregister)
        1    0.000    0.000    0.000    0.000 builtins.py:298(<listcomp>)
        1    0.000    0.000    0.000    0.000 overload_glue.py:186(__init__)
       29    0.000    0.000    0.000    0.000 mathimpl.py:108(_unary_int_input_wrapper_impl)
        1    0.000    0.000    0.000    0.000 platform.py:727(_get_machine_win32)
        3    0.000    0.000    0.000    0.000 rcsetup.py:483(_validate_mathtext_fallback)
        1    0.000    0.000    0.000    0.000 fontconfig_pattern.py:27(FontconfigPatternParser)
        1    0.000    0.000    0.000    0.000 font_manager.py:1011(FontManager)
        1    0.000    0.000    0.000    0.000 polar.py:407(RadialLocator)
        1    0.000    0.000    0.000    0.000 axis3d.py:471(XAxis)
        2    0.000    0.000    0.002    0.001 qt_compat.py:74(_setup_pyqt5)
        1    0.000    0.000    0.000    0.000 interface.py:53(LinearOperator)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:103(FullHessianUpdateStrategy)
        2    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.009    0.009 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2425(EntryPoint)
        2    0.000    0.000    0.000    0.000 instructions.py:30(descr)
        3    0.000    0.000    0.000    0.000 cgutils.py:417(get_or_insert_function)
        7    0.000    0.000    0.000    0.000 imputils.py:60(lower_getattr_generic)
        9    0.000    0.000    0.000    0.000 typing.py:450(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1274(__init__)
        5    0.000    0.000    0.000    0.000 pathlib.py:1216(stat)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:3102(_ndim_dispatcher)
        7    0.000    0.000    0.000    0.000 utils.py:66(__init__)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1128(LockableBbox)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3812(parseImpl)
       33    0.000    0.000    0.000    0.000 pyparsing.py:4246(<genexpr>)
        7    0.000    0.000    0.000    0.000 rrule.py:69(__init__)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1932(_MathStyle)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 initfini.py:64(_version_info)
        2    0.000    0.000    0.003    0.002 transforms.py:87(_populate_module_pm)
        1    0.000    0.000    0.000    0.000 values.py:543(FunctionAttributes)
        1    0.000    0.000    0.000    0.000 asnumbatype.py:24(<dictcomp>)
       17    0.000    0.000    0.000    0.000 imputils.py:332(outer)
        1    0.000    0.000    0.000    0.000 npydecl.py:340(<listcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1167(_recalculate)
        7    0.000    0.000    0.000    0.000 weakref.py:345(__new__)
        1    0.000    0.000    0.000    0.000 pathlib.py:865(with_name)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4928(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 collections.py:1316(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 patches.py:1420(Ellipse)
        4    0.000    0.000    0.000    0.000 iterative.py:120(combine)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:186(IterativeSubproblem)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3032(__str__)
        1    0.000    0.000    0.000    0.000 misc.py:349(ClassInstanceType)
        1    0.000    0.000    0.000    0.000 funcdesc.py:24(FunctionDescriptor)
        1    0.000    0.000    0.000    0.000 serialize.py:196(ReduceMixin)
        5    0.000    0.000    0.000    0.000 builtins.py:163(<genexpr>)
        1    0.000    0.000    0.000    0.000 parfor.py:669(__init__)
        3    0.000    0.000    0.000    0.000 codegen.py:1039(resolve)
        3    0.000    0.000    0.001    0.000 codegen.py:1393(_add_module)
        1    0.000    0.000    0.000    0.000 caching.py:461(__init__)
        2    0.000    0.000    0.000    0.000 re.py:315(_compile_repl)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3622(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3670(__init__)
        1    0.000    0.000    0.000    0.000 font_manager.py:572(FontProperties)
        1    0.000    0.000    0.000    0.000 patches.py:1234(Arrow)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:1(<module>)
        3    0.000    0.000    0.000    0.000 blas.py:409(get_blas_funcs)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
       15    0.000    0.000    0.000    0.000 __init__.py:2352(_cygwin_patch)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 passmanagers.py:212(__init__)
        2    0.000    0.000    0.000    0.000 values.py:559(add)
        2    0.000    0.000    0.000    0.000 instructions.py:713(__init__)
        2    0.000    0.000    0.003    0.002 utils.py:375(inner)
        1    0.000    0.000    0.000    0.000 npytypes.py:295(NumpyNdIterType)
        1    0.000    0.000    0.000    0.000 descriptors.py:1(<module>)
        4    0.000    0.000    0.000    0.000 compiler_lock.py:15(release)
        1    0.000    0.000    0.000    0.000 typeinfer.py:943(TypeInferer)
        2    0.000    0.000    0.000    0.000 options.py:103(<dictcomp>)
        1    0.000    0.000    0.000    0.000 caching.py:228(__init__)
        1    0.000    0.000    0.000    0.000 caching.py:358(get_filename_base)
        1    0.000    0.000    0.000    0.000 cparser.py:297(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:635(FuncDecl)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        1    0.000    0.000    0.000    0.000 tempfile.py:623(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
       10    0.000    0.000    0.000    0.000 rcsetup.py:717(_validate_greaterequal0_lessthan1)
       24    0.000    0.000    0.000    0.000 dviread.py:135(_dispatch)
        1    0.000    0.000    0.000    0.000 widgets.py:310(Slider)
        1    0.000    0.000    0.000    0.000 gridspec.py:27(GridSpecBase)
        1    0.000    0.000    0.001    0.001 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        6    0.000    0.000    0.000    0.000 builder.py:248(append_basic_block)
        4    0.000    0.000    0.000    0.000 instructions.py:415(__init__)
        3    0.000    0.000    0.000    0.000 cgutils.py:460(if_unlikely)
        2    0.000    0.000    0.000    0.000 environment.py:60(lookup_environment)
        1    0.000    0.000    0.000    0.000 event.py:35(EventStatus)
        1    0.000    0.000    0.000    0.000 codegen.py:1419(get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 dictimpl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:781(__mro_entries__)
        5    0.000    0.000    0.000    0.000 version.py:51(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        1    0.000    0.000    0.000    0.000 tempfile.py:225(_get_candidate_names)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 core.py:6426(MaskedConstant)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:151(<listcomp>)
        1    0.000    0.000    0.000    0.000 widgets.py:811(CheckButtons)
        1    0.000    0.000    0.000    0.000 geo.py:14(GeoAxes)
        2    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 pyparsing.py:2991(__init__)
        3    0.000    0.000    0.000    0.000 transforms.py:25(opt_level)
        3    0.000    0.000    0.000    0.000 transforms.py:71(loop_vectorize)
        3    0.000    0.000    0.000    0.000 transforms.py:83(slp_vectorize)
        6    0.000    0.000    0.000    0.000 abstract.py:328(__init__)
        1    0.000    0.000    0.000    0.000 registry.py:33(_toplevel_typing_context)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:25(is_locked)
        1    0.000    0.000    0.000    0.000 __init__.py:15(_init)
        4    0.000    0.000    0.000    0.000 npdatetime.py:110(make_constant_array)
       23    0.000    0.000    0.000    0.000 typing.py:720(<genexpr>)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        4    0.000    0.000    0.000    0.000 __init__.py:852(__init__)
        1    0.000    0.000    0.000    0.000 afm.py:358(AFM)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spfun_stats.py:32(<module>)
        1    0.000    0.000    0.000    0.000 _lambertw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 init_utils.py:10(generate_version_info)
        1    0.000    0.000    0.002    0.002 __init__.py:958(Environment)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        1    0.000    0.000    0.000    0.000 module.py:56(__str__)
        8    0.000    0.000    0.004    0.000 typeconv.py:87(unsafe)
        1    0.000    0.000    0.000    0.000 callconv.py:326(CPUCallConv)
        1    0.000    0.000    0.000    0.000 builtins.py:265(BinOpPower)
        1    0.000    0.000    0.000    0.000 builtins.py:402(OrderedCmpOp)
       10    0.000    0.000    0.000    0.000 sigutils.py:43(check_type)
        1    0.000    0.000    0.000    0.000 ast.py:65(_raise_malformed_node)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        2    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(argmax)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2414(__call__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3581(__init__)
        3    0.000    0.000    0.000    0.000 dates.py:1838(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:4255(ConnectionPatch)
        3    0.000    0.000    0.004    0.001 qt_compat.py:99(_setup_pyqt4)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<listcomp>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:338(_ExpmPadeHelper)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 {built-in method sys._current_frames}
        3    0.000    0.000    0.000    0.000 pyparsing.py:693(_asStringList)
        3    0.000    0.000    0.000    0.000 models.py:226(__init__)
        1    0.000    0.000    0.000    0.000 pythonapi.py:1368(serialize_object)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:814(<genexpr>)
        7    0.000    0.000    0.000    0.000 enum.py:363(__members__)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        3    0.000    0.000    0.000    0.000 platform.py:1091(python_implementation)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:1995(XAxis)
        1    0.000    0.000    0.000    0.000 __init__.py:307(Variable)
        1    0.000    0.000    0.000    0.000 _trustregion.py:12(BaseQuadraticSubproblem)
        2    0.000    0.000    0.000    0.000 {built-in method numba._dynfunc.make_function}
        4    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        1    0.000    0.000    0.000    0.000 process.py:393(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
        1    0.000    0.000    0.000    0.000 targets.py:122(__str__)
        2    0.000    0.000    0.000    0.000 values.py:45(bitcast)
        1    0.000    0.000    0.000    0.000 instructions.py:739(__init__)
        8    0.000    0.000    0.002    0.000 castgraph.py:125(promote)
        1    0.000    0.000    0.000    0.000 context.py:47(__init__)
        2    0.000    0.000    0.000    0.000 itanium_mangler.py:125(mangle_identifier)
        1    0.000    0.000    0.000    0.000 dispatcher.py:1271(ObjModeLiftedWith)
        1    0.000    0.000    0.000    0.000 builtins.py:217(BinOpTrueDiv)
        1    0.000    0.000    0.000    0.000 builtins.py:369(<listcomp>)
        7    0.000    0.000    0.000    0.000 copyreg.py:41(_reconstructor)
        1    0.000    0.000    0.000    0.000 pathlib.py:505(select_from)
        2    0.000    0.000    0.000    0.000 model.py:350(__init__)
        1    0.000    0.000    0.000    0.000 model.py:560(unknown_type)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4785(__str__)
        1    0.000    0.000    0.000    0.000 _enums.py:44(JoinStyle)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:10(Gcf)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 art3d.py:359(PathPatch3D)
        9    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.003    0.003 std.py:660(get_lock)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3513(<genexpr>)
        8    0.000    0.000    0.000    0.000 types.py:440(__init__)
        4    0.000    0.000    0.000    0.000 instructions.py:379(__init__)
        1    0.000    0.000    0.000    0.000 _runtests.py:1(<module>)
        1    0.000    0.000    0.000    0.000 serialize.py:167(disable_pickling)
        1    0.000    0.000    0.000    0.000 builtins.py:248(<listcomp>)
        1    0.000    0.000    0.000    0.000 gufunc.py:10(GUFunc)
        6    0.000    0.000    0.000    0.000 contextlib.py:451(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        1    0.000    0.000    0.000    0.000 numeric.py:2137(identity)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        2    0.000    0.000    0.000    0.000 platform.py:936(machine)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1996(Chebyshev)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1649(HermiteE)
        1    0.000    0.000    0.000    0.000 animation.py:793(HTMLWriter)
        1    0.000    0.000    0.000    0.000 transforms.py:1862(Affine2D)
        1    0.000    0.000    0.000    0.000 pyplot.py:93(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:709(Rectangle)
        1    0.000    0.000    0.000    0.000 widgets.py:1222(RadioButtons)
        1    0.000    0.000    0.000    0.000 figure.py:1879(SubFigure)
        3    0.000    0.000    0.000    0.000 blas.py:382(getter)
        1    0.000    0.000    0.000    0.000 __init__.py:62(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method win32api.GetFullPathName}
        7    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 winterm.py:24(__init__)
        1    0.000    0.000    0.000    0.000 ffi.py:49(__init__)
        2    0.000    0.000    0.000    0.000 builder.py:1035(fence)
        1    0.000    0.000    0.000    0.000 asnumbatype.py:23(__init__)
        1    0.000    0.000    0.000    0.000 postproc.py:30(VariableLifetime)
