hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21319    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
   776/44    0.003    0.000    1.564    0.036 <frozen importlib._bootstrap_external>:784(exec_module)
    18390    0.003    0.000    0.003    0.000 abstract.py:95(key)
     3971    0.003    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     1872    0.002    0.000    0.007    0.000 abstract.py:48(_intern)
    10734    0.002    0.000    0.004    0.000 _mathtext.py:2507(<genexpr>)
     2854    0.002    0.000    0.002    0.000 utils.py:57(__init__)
     8595    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      876    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      819    0.002    0.000    0.030    0.000 extending.py:127(decorate)
    10916    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
  682/254    0.002    0.000    0.061    0.000 sre_parse.py:435(_parse_sub)
     6441    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
2010/1447    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     9043    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     2387    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1938    0.002    0.000    0.030    0.000 abc.py:84(__new__)
      881    0.002    0.000    0.006    0.000 copy.py:66(copy)
17084/16869    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
     2349    0.002    0.000    0.036    0.000 inspect.py:607(getdoc)
     3118    0.002    0.000    0.005    0.000 enum.py:289(__call__)
      188    0.002    0.000    0.002    0.000 colors.py:989(<listcomp>)
      775    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
      101    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
     1524    0.002    0.000    0.034    0.000 __init__.py:2079(dist_factory)
     2792    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
       12    0.002    0.000    0.027    0.002 artist.py:1403(get_setters)
      169    0.002    0.000    0.136    0.001 cpu.py:69(load_additional_registries)
      776    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
      819    0.002    0.000    0.002    0.000 extending.py:60(overload)
     2032    0.002    0.000    0.006    0.000 castgraph.py:39(insert)
  896/892    0.002    0.000    0.117    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       43    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      476    0.002    0.000    0.002    0.000 version.py:378(_cmpkey)
     2327    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      478    0.002    0.000    0.004    0.000 version.py:152(_legacy_cmpkey)
      876    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
